country	continent	(Intercept)	year	sd
Mauritius	Africa	-624.81113846154	0.348453846153847	1.74021417890492
Mexico	Americas	-827.414879953383	0.451034965034966	1.04508297737732
Mongolia	Asia	-812.492784149187	0.438688111888113	0.940252195499841
Montenegro	Europe	-509.697101864803	0.293001398601399	2.75383174249398
Morocco	Africa	-1016.21593030303	0.542472727272729	0.756954870357252
Mozambique	Africa	-403.989180419581	0.224485314685315	2.29172661936414
Myanmar	Asia	-803.990093473195	0.433095104895105	3.03282800915258
Namibia	Africa	-404.097084848484	0.231163636363636	4.96080237400559
Nepal	Asia	-998.686882051287	0.529261538461541	0.924260089379827
Netherlands	Europe	-194.92284895105	0.136686713286714	0.347760135564889
Nicaragua	Americas	-1043.2810927739	0.556519580419582	0.598421406371609
Niger	Africa	-632.646278787882	0.342109090909092	2.18376761861722
Nigeria	Africa	-368.284787645689	0.208065734265735	1.52001832946562
Norway	Europe	-185.334721678323	0.131941258741259	0.489679044307146
Oman	Asia	-1470.08570536131	0.772179020979025	2.34771953378677
Pakistan	Asia	-748.383623076926	0.405792307692309	0.402933746224074
Panama	Americas	-633.355145454547	0.354209090909092	1.51703065079604
Paraguay	Americas	-244.67423939394	0.157354545454546	0.391417619723872
Peru	Americas	-985.718663869468	0.527697902097904	1.07740727679613
Philippines	Asia	-771.351592307694	0.420469230769232	0.739470291180463
Poland	Europe	-318.238358508158	0.196218881118881	1.62122372429568
Portugal	Europe	-597.070335198137	0.3372013986014	1.13970538560078
Puerto Rico	Americas	-344.093533100233	0.210574825174825	1.26871838486453
Reunion	Africa	-843.689040559444	0.459880419580421	1.62951597504815
Romania	Europe	-243.285401864802	0.157401398601399	1.46211400580372
Rwanda	Africa	132.204975291377	-0.0458314685314696	6.558269477358
Sao Tome and Principe	Africa	-616.484710023312	0.340682517482518	1.39404990312434
Saudi Arabia	Asia	-1227.25013076924	0.64962307692308	2.08147429352742
Senegal	Africa	-948.427733333337	0.504700000000002	0.932361258668891
Serbia	Europe	-436.520501398601	0.255151048951049	1.79155729558301
Sierra Leone	Africa	-386.913046620048	0.214034965034966	0.824449955790977
Singapore	Asia	-603.563614685317	0.340886013986015	0.711899417101874
Slovak Republic	Europe	-194.644125407924	0.134044055944055	1.29982952643243
Slovenia	Europe	-325.336065034967	0.200523776223777	0.710834543267357
Somalia	Africa	-413.451931235432	0.229573426573427	1.86312930689718
South Africa	Africa	-280.857945920746	0.16915944055944	4.74435620274815
Spain	Europe	-481.899041025641	0.280930769230769	1.01317539360426
Sri Lanka	Asia	-418.242392540793	0.244894405594406	1.08759675683495
Sudan	Africa	-709.30226643357	0.382774825174827	0.644078157855502
Swaziland	Africa	-139.198199766898	0.0950748251748245	6.64409130657408
Sweden	Europe	-252.923872727273	0.166254545454546	0.21176788322037
Switzerland	Europe	-364.34210862471	0.222231468531469	0.214911464667857
Syria	Asia	-1036.00834592075	0.554359440559443	1.32954434997664
Taiwan	Asia	-577.444326340327	0.327244755244756	1.31042846068865
Tanzania	Africa	-297.882784149185	0.174688111888112	1.83462431880268
Thailand	Asia	-624.781764335666	0.347048251748253	1.20487235533787
Togo	Africa	-705.842723076925	0.382592307692309	2.3327815165262
Trinidad and Tobago	Americas	-276.935015384615	0.173661538461538	1.65198415432893
Tunisia	Africa	-1102.91492447553	0.587843356643359	1.55905632610629
Turkey	Europe	-924.58988648019	0.497239860139862	1.14706605026032
Uganda	Africa	-193.06068135198	0.121586013986013	3.18766831661273
United Kingdom	Europe	-294.196587645689	0.185965734265735	0.442118165100028
United States	Americas	-291.084492307694	0.184169230769231	0.416133946630722
Uruguay	Americas	-292.005396037297	0.183272027972028	0.533679901201445
Venezuela	Americas	-586.103395571097	0.329721678321679	1.48180233960531
Vietnam	Asia	-1271.98315384616	0.671615384615388	1.31364912186798
West Bank and Gaza	Asia	-1129.55016759907	0.601100699300701	1.98218221702544
Yemen, Rep.	Asia	-1151.72654592075	0.605459440559443	1.58579804154079
Zambia	Africa	165.60796689977	-0.0604251748251762	4.52871277959788
Zimbabwe	Africa	236.798194638699	-0.093020979020981	7.2054306956159
